movie_id,title,genres,actors,directors
2,아리엘,"범죄,드라마,코미디,로맨스","Turo Pajala,Susanna Haavisto,Matti Pellonpää,Eetu Hilkamo,Erkki Pajala,Matti Jaaranen,Hannu Viholainen,Jorma Markkula,Tarja Keinänen,Eino Kuusela,Kauko Laalo,Jyrki Olsonen,Esko Nikkari,Marja Packalén,Mikko Remes,Tomi Salmela,Reijo Marin,Heikki Salomaa,Veikko Uusimäki,Esko Salminen",아키 카우리스마키
3,천국의 그림자,"드라마,코미디,로맨스","Matti Pellonpää,Kati Outinen,Sakari Kuosmanen,Esko Nikkari,Kylli Köngäs,Pekka Laiho,Jukka-Pekka Palo,Svante Korkiakoski,Mari Rantasila,Safka Pekkonen,Antti Ortamo,Mato Valtonen,Sakke Järvenpää,Ulla Kuosmanen,Neka Haapanen,Pentti Koski,Ari Korhonen,Teuvo Rissanen,Erkki Rissanen,Sirkka Silin",아키 카우리스마키
11,스타워즈 에피소드 4: 새로운 희망,"모험,액션,SF","마크 해밀,해리슨 포드,캐리 피셔,피터 커싱,앨릭 기니스,안소니 다니엘스,Kenny Baker,Peter Mayhew,David Prowse,제임스 얼 존스,Phil Brown,Shelagh Fraser,Jack Purvis,Alex McCrindle,Eddie Byrne,Drewe Henley,Denis Lawson,Garrick Hagon,Jack Klaff,William Hootkins",조지 루카스
12,니모를 찾아서,"애니메이션,가족","앨버트 브룩스,엘런 디제너러스,Alexander Gould,윌렘 대포,제프리 러쉬,브래드 개릿,앨리슨 제니,Austin Pendleton,스티븐 루트,Vicki Lewis,Joe Ranft,앤드류 스탠튼,Elizabeth Perkins,Nicholas Bird,밥 피터슨,Barry Humphries,에릭 배너,Bruce Spence,Bill Hunter,LuLu Ebeling",앤드류 스탠튼
13,포레스트 검프,"드라마,코미디,로맨스","톰 행크스,로빈 라이트,게리 시나이즈,샐리 필드,미켈티 윌리엄슨,Michael Conner Humphreys,Hanna Hall,헤일리 조엘 오스먼트,Siobhan Fallon Hogan,Rebecca Williams,Bob Penny,Harold G. Herthum,George Kelly,John Randall,Sam Anderson,Margo Moorer,Ione M. Telech,Christine Seabrook,John Worsham,Peter Dobson",로버트 저메키스
14,아메리칸 뷰티,드라마,"케빈 스페이시,아네트 베닝,소라 버치,웨스 벤틀리,미나 수바리,피터 갤러거,앨리슨 제니,크리스 쿠퍼,Scott Bakula,Sam Robards,Barry Del Sherman,Ara Celi,존 조,Fort Atkinson,Sue Casey,Kent Faulcon,Brenda Wehle,Lisa Cloud,Alison Faulk,Krista Goodsitt",샘 멘데스
15,시민 케인,"미스터리,드라마","오슨 웰스,조셉 코튼,Dorothy Comingore,Ray Collins,George Coulouris,Agnes Moorehead,Paul Stewart,Ruth Warrick,Erskine Sanford,William Alland,Everett Sloane,Fortunio Bonanova,Gus Schilling,Philip Van Zandt,Georgia Backus,Harry Shannon,Sonny Bupp,Buddy Swan,Gregg Toland,Don Ackerman",오슨 웰스
16,어둠속의 댄서,"범죄,드라마","비요크,카트린 드뇌브,데이비드 모스,피터 스토메어,Joel Grey,Cara Seymour,Vladica Kostic,장마르크 바,Vincent Paterson,Siobhan Fallon Hogan,Zeljko Ivanek,우도 키어,Jens Albinus,Reathel Bean,Mette Berggreen,Lars Michael Dinesen,Katrine Falkenberg,Michael Flessas,John Randolph Jones,Noah Lazarus",라스 폰 트리에
18,제5원소,"액션,모험,SF","브루스 윌리스,밀라 요보비치,게리 올드만,이안 홈,크리스 터커,Luke Perry,Brion James,Tommy Lister Jr.,Lee Evans,Charlie Creed-Miles,Tricky,John Neville,John Bluthal,마티외 카소비츠,Christopher Fairbank,Kim Chan,Richard Leaf,Julie T. Wallace,Al Matthews,Maïwenn",뤽 베송
19,메트로폴리스,"드라마,SF","Gustav Fröhlich,Brigitte Helm,Alfred Abel,Rudolf Klein-Rogge,Theodor Loos,Fritz Rasp,Erwin Biswanger,Heinrich George,Fritz Alberti,Grete Berger,Olly Boeheim,Heinrich Gotho,Gottfried Huppertz,Georg John,Margarete Lanner,Rose Lichtenstein,Hanns Leo Reich,Arthur Reinhardt,Curt Siodmak,Henrietta Siodmak",프리츠 랑
22,캐리비안의 해적: 블랙펄의 저주,"모험,액션,판타지","조니 뎁,제프리 러쉬,올랜도 블룸,키이라 나이틀리,Jack Davenport,조너선 프라이스,Lee Arenberg,매켄지 크룩,Damian O'Hare,Giles New,Angus Barnett,David Bailie,Michael Berry Jr.,Isaac C. Singleton, Jr.,Kevin McNally,Treva Etienne,조 샐다나,Guy Siner,Ralph P. Martin,Paula J. Newman",고어 버빈스키
24,킬 빌: 1부,"범죄,액션","우마 서먼,루시 리우,비비카 A. 폭스,대릴 해나,데이비드 캐러딘,마이클 매드슨,줄리 드레이퍼스,쿠리야마 치아키,소니 치바,유가휘,Michael Parks,마이클 보웬,쿠니무라 준,大葉健二,風祭ゆき,James Parks,佐藤佐吉,Jonathan Loughran,森下能幸,Tetsuro Shimaguchi",쿠엔틴 타란티노
25,자헤드: 그들만의 전쟁,"전쟁,드라마","제이크 질렌할,제이미 폭스,피터 사스가드,Scott MacDonald,크리스 쿠퍼,라즈 알론소,Lucas Black,Brian Geraghty,Damion Poitier,조코 심즈,Dennis Haysbert,존 크래신스키,Kevin Foster,Riad Galayini,Craig Coyne,Katherine Randolph,Rini Bell,Dendrie Taylor,James Morrison,Ming Lo",샘 멘데스
27,나인 송즈,"드라마,음악,로맨스","Kieran O'Brien,Margo Stilley,Courtney Taylor-Taylor,Alex Kapranos,Guy Garvey,Robert Levon Been,Peter Hayes,Gruff Rhys,Jason Stollsteimer,Marcie Bolen,Michael Nyman,Bobby Gillespie",마이클 윈터바텀
28,지옥의 묵시록,"전쟁,드라마","마틴 쉰,말론 브란도,Frederic Forrest,Albert Hall,로렌스 피시번,Sam Bottoms,로버트 듀발,G. D. Spradlin,해리슨 포드,Jerry Ziesmer,스콧 글렌,Kerry Rossall,James Keane,Tom Mason,Cynthia Wood,데니스 호퍼,Colleen Camp,Linda Carpenter,Aurore Clément,Jack Thibeau",프랜시스 포드 코폴라
33,용서받지 못한 자,서부,"클린트 이스트우드,진 해크먼,모건 프리먼,Jaimz Woolvett,리처드 해리스,Saul Rubinek,프랜시스 피셔,Anna Thomson,David Mucci,Rob Campbell,Anthony James,Tara Frederick,Beverley Elliott,Liisa Repo-Martell,Shane Meier,Aline Levasseur,Cherrilene Cardinal,Josie Smith,Robert Koons,Ron White",클린트 이스트우드
35,심슨 가족: 더 무비,"애니메이션,코미디,가족","댄 카스텔라네타,줄리 캐브너,낸시 카트라이트,야들리 스미스,행크 아자리아,해리 쉬어러,Pamela Hayden,트레스 맥닐,앨버트 브룩스,Karl Wiedergott,마샤 월리스,Russi Taylor,매기 로즈웰,Phil Rosenthal,Billie Joe Armstrong,Mike Dirnt,Tré Cool,Joe Mantegna,톰 행크스",데이비드 실버먼
38,이터널 선샤인,"드라마,로맨스,SF","짐 캐리,케이트 윈슬렛,커스틴 던스트,마크 러팔로,일라이저 우드,톰 윌킨슨,제인 아담스,David Cross,디어드리 오코널,Thomas Jay Ryan,Ryan Whitney,Lola Daehler,Debbon Ayer,Gerry Robert Byrne,Brian Price,Josh Flitter,Paulie Litt,Amir Ali Said,Lauren Adler",미셸 공드리
55,아모레스 페로스,"드라마,스릴러","Emilio Echevarría,가엘 가르시아 베르날,Vanessa Bauche,Goya Toledo,Álvaro Guerrero,Jorge Salinas,Marco Pérez,Rodrigo Murray,Humberto Busto,Gerardo Campbell,Rosa María Bianchi,Dunia Saldívar,Adriana Barraza,José Sefami,Lourdes Echevarría,Laura Almela,Gustavo Sánchez Parra,Dagoberto Gama,Rodrigo Ostap,Patricio Castillo",알레한드로 곤살레스 이냐리투
58,캐리비안의 해적: 망자의 함,"모험,액션,판타지","조니 뎁,올랜도 블룸,키이라 나이틀리,스텔란 스카스가드,빌 나이,Jack Davenport,Kevin McNally,조너선 프라이스,Lee Arenberg,매켄지 크룩,톰 홀랜더,나오미 해리스,Alex Norton,David Bailie,마틴 클레바,데이비드 쇼필드,Lauren Maher,Nej Adamson,Jimmy Roussounis,Moray Treadwell",고어 버빈스키
59,폭력의 역사,"범죄,드라마,스릴러","비고 모텐슨,마리아 벨로,에드 해리스,윌리엄 허트,애쉬튼 홈즈,Peter MacNeill,Stephen McHattie,Greg Bryk,Kyle Schmid,Sumela Kay,Gerry Quigley,Deborah Drakeford,Heidi Hayes,Aidan Devine,Bill MacDonald,Michelle McCree,Ian Matthews,R.D. Reid,Morgan Kelly,Martha Reilly",데이비드 크로넨버그
62,2001 스페이스 오디세이,"미스터리,모험,SF","Keir Dullea,Gary Lockwood,William Sylvester,Douglas Rain,Daniel Richter,Leonard Rossiter,Margaret Tyzack,Robert Beatty,Sean Sullivan,Frank W. Miller,Bill Weston,Ed Bishop,Glenn Beck,Alan Gifford,Ann Gillis,Edwina Carroll,Penny Brahms,Heather Downham,Mike Lovell,John Ashley",스탠리 큐브릭
63,12 몽키즈,"미스터리,스릴러,SF","브루스 윌리스,매들린 스토우,브래드 피트,크리스토퍼 플러머,데이비드 모스,존 세다,크리스토퍼 멜로니,조이 퍼릴로,리사 게이 해밀튼,맷 로스,애니 골든,Michael Chance,H. Michael Walls,Bob Adrian,Bill Raymond,Ernest Abuba,Nell Johnson,Rozwill Young,Joseph Melito,Frank Gorshin",테리 길리엄
64,그녀에게,"드라마,로맨스","Leonor Watling,Rosario Flores,Javier Cámara,Darío Grandinetti,Mariola Fuentes,제랄딘 채플린,Pina Bausch,Malou Airaudo,Caetano Veloso,Roberto Álvarez,엘레나 아나야,Lola Dueñas,Adolfo Fernández,Ana Fernández,Chus Lampreave,Helio Pedregal,파즈 베가,Fele Martínez,Carmen Machi,Agustín Almodóvar",페드로 알모도바르
65,8 마일,"드라마,음악","에미넴,킴 베이싱어,메키 파이퍼,브리트니 머피,Evan Jones,오마 벤슨 밀러,De'Angelo Wilson,Eugene Byrd,Taryn Manning,Larry Hudson,Proof,Mike Bell,DJ Head,마이클 섀넌,Chloe Greenfield,Mary Hannigan,앤서니 매키,Strike,Nashawn 'Ox' Breedlove,Na'Keya Snoddy",커티스 핸슨
68,브라질,"코미디,SF","조너선 프라이스,로버트 드 니로,Katherine Helmond,이안 홈,밥 호스킨스,마이클 페일린,Ian Richardson,피터 본핸,Kim Greist,짐 브로드벤트,Barbara Hicks,Charles McKeown,Derrick O'Connor,Kathryn Pogson,Bryan Pringle,Sheila Reid,John Flanagan,Roger Ashton-Griffiths,John Pierce Jones,Nigel Planer",테리 길리엄
69,앙코르,"드라마,음악,로맨스","호아킨 피닉스,리즈 위더스푼,지니퍼 굿윈,로버트 패트릭,Dallas Roberts,Dan John Miller,Larry Bagby,Shelby Lynne,Tyler Hilton,Waylon Payne,Shooter Jennings,Sandra Ellis Lafferty,Dan Beene,Clay Steakley,Johnathan Rice,Johnny Holiday,Ridge Canipe,Lucas Till,Carly Nahon,McGhee Monteith",제임스 맨골드
